"#","Assumption","Type","Evidence Strength","Business Criticality","User Supplied"
"1","Users find it motivating, not deflating, to see a personal-best comparison on a day they lost money.","Desirability","Weak","High","No"
"2","Users want the evening Post-Game send in addition to Pre-Match, not perceiving it as spam or redundant.","Desirability","Weak","High","No"
"3","The system can reliably compute a meaningful personal-best discipline streak from historical data.","Feasibility","Weak","High","No"
"4","The system can reliably detect end-of-trading-day and send Post-Game at the right local time.","Feasibility","Weak","High","No"
"5","Users who had a bad discipline day still want the Post-Game recap rather than muting it.","Desirability","Weak","High","No"
"6","The briefing contains enough information to feel valuable, not just a superficial gamified wrapper.","Desirability","Weak","High","Yes"
"7","Users prefer the basketball-framed Pre-Match briefing over glancing at their broker app directly.","Desirability","Weak","High","No"
"8","Users care about their live exposure/margin even on days they don't plan to trade.","Desirability","Weak","High","No"
"9","The risk-to-stat mapping engine can be built and stays accurate across a wide range of account states.","Feasibility","Weak","High","No"
"10","Enough beta signups (80%) successfully connect an account so Pre-Match has data to work with.","Viability","Weak","High","No"
"11","The AI generates fresh, accurate narration for both Pre-Match and Post-Game daily, without factual drift or repeating itself between the two sends.","Feasibility","Weak","High","No"
"12","Combined AI generation cost across both Pre-Match and Post-Game stays sustainable per user per month, before any monetization layer exists.","Viability","Weak","High","No"
"13","Neither the daily exposure framing (Pre-Match) nor the loss-reframed-as-a-win framing (Post-Game) nudges users toward taking on more real trading risk than they otherwise would.","Ethics","Weak","High","No"
"14","Users are willing to open both daily touchpoints, the morning Pre-Match and the evening Post-Game, not just one of them.","Desirability","Weak","High","Yes"
"15","Adding Post-Game Recap on top of Pre-Match measurably improves week 4 retention or daily open rate enough to justify Post-Game's additional build and running cost.","Viability","Weak","High","No"
"16","The two required cTrader MCP calls return complete, accurate data every morning, not just once.","Feasibility","Medium","High","No"
"17","Users can read and understand the Pre-Match briefing quickly, within a few seconds, without it feeling like a chore.","Usability","Medium","High","Yes"
"18","Personal-best comparison drives interest in the Post-Game recap, beyond the recap's content alone.","Desirability","Medium","High","No"
"19","New users understand the basketball vocabulary used across both Pre-Match and Post-Game, shot clock, foul, box score, personal best, without needing a tutorial.","Usability","Strong","High","Yes"
"20","The Post-Game recap contains the important information so users can act on it.","Usability","Weak","Low","Yes"
"21","Users can tell from the notification preview alone whether tonight's Post-Game news is good or bad.","Usability","Weak","Low","No"
"22","The personal-best mechanic stays meaningful over time and doesn't become discouraging once a record is hard to beat.","Viability","Weak","Low","No"
"23","The fixed local-time morning send reliably lands before the user starts their day.","Feasibility","Weak","Low","No"
"24","Users can tell at a glance whether today looks safe or risky without reading the full Pre-Match narration.","Usability","Weak","Low","No"
